time 01h 25m 28s, episodes 12205, frames 5766758, run epr 31.47, run loss -9.76
time 01h 26m 31s, episodes 12261, frames 5838869, run epr 32.27, run loss -10.07
time 01h 27m 53s, episodes 12343, frames 5930795, run epr 30.35, run loss -8.31

	step 6000000: saved model

time 01h 29m 13s, episodes 12413, frames 6021454, run epr 33.19, run loss -9.95
time 01h 30m 32s, episodes 12482, frames 6110710, run epr 34.75, run loss -8.49
time 01h 31m 37s, episodes 12544, frames 6184560, run epr 32.30, run loss -8.98
time 01h 32m 41s, episodes 12597, frames 6255408, run epr 35.54, run loss -8.49
time 01h 34m 05s, episodes 12670, frames 6349786, run epr 36.15, run loss -9.99
time 01h 35m 10s, episodes 12726, frames 6424191, run epr 35.09, run loss -10.63
time 01h 36m 31s, episodes 12796, frames 6515597, run epr 36.93, run loss -11.06
time 01h 37m 46s, episodes 12861, frames 6599740, run epr 37.32, run loss -6.96
time 01h 39m 00s, episodes 12925, frames 6683423, run epr 36.07, run loss -9.63
time 01h 40m 11s, episodes 12990, frames 6763617, run epr 35.52, run loss -9.12
time 01h 41m 31s, episodes 13053, frames 6853198, run epr 39.50, run loss -10.21
time 01h 42m 55s, episodes 13121, frames 6947672, run epr 41.32, run loss -9.82
time 01h 44m 05s, episodes 13181, frames 7027612, run epr 40.10, run loss -9.19
time 01h 45m 16s, episodes 13240, frames 7106702, run epr 43.12, run loss -3.05
time 01h 46m 19s, episodes 13294, frames 7178298, run epr 42.53, run loss -8.48
time 01h 47m 45s, episodes 13364, frames 7274791, run epr 40.73, run loss -8.24
time 01h 48m 49s, episodes 13415, frames 7347705, run epr 41.33, run loss -9.78
time 01h 49m 50s, episodes 13463, frames 7415938, run epr 43.26, run loss -9.55
time 01h 50m 58s, episodes 13518, frames 7491900, run epr 42.22, run loss -12.08
time 01h 52m 02s, episodes 13566, frames 7564536, run epr 41.10, run loss -11.40
time 01h 53m 18s, episodes 13631, frames 7649594, run epr 40.41, run loss -9.67
time 01h 54m 45s, episodes 13700, frames 7747151, run epr 44.36, run loss -10.41
time 01h 56m 11s, episodes 13775, frames 7844294, run epr 41.09, run loss -11.05
time 01h 57m 37s, episodes 13840, frames 7942234, run epr 45.14, run loss -5.26

	step 8000000: saved model

time 01h 58m 54s, episodes 13900, frames 8028447, run epr 42.26, run loss -8.54
time 02h 00m 05s, episodes 13957, frames 8108707, run epr 41.70, run loss -11.26
time 02h 01m 13s, episodes 14010, frames 8185239, run epr 42.74, run loss -9.33
time 02h 02m 23s, episodes 14066, frames 8262920, run epr 43.08, run loss -9.98
time 02h 03m 25s, episodes 14114, frames 8332659, run epr 45.44, run loss -11.85
