time 06h 44m 47s, episodes 24929, frames 27443107, run epr 129.12, run loss 51.94
time 06h 45m 51s, episodes 24966, frames 27515477, run epr 118.19, run loss 36.09
time 06h 46m 55s, episodes 25002, frames 27588637, run epr 106.28, run loss 14.91
time 06h 47m 58s, episodes 25043, frames 27660130, run epr 106.95, run loss 15.63
time 06h 49m 13s, episodes 25083, frames 27744978, run epr 115.28, run loss 23.05
time 06h 50m 16s, episodes 25119, frames 27817338, run epr 122.65, run loss 30.73
time 06h 51m 42s, episodes 25169, frames 27914161, run epr 136.35, run loss 59.32

	step 28000000: saved model

time 06h 53m 01s, episodes 25213, frames 28004865, run epr 124.66, run loss 38.65
time 06h 54m 03s, episodes 25247, frames 28074251, run epr 122.09, run loss 40.82
time 06h 55m 25s, episodes 25296, frames 28167790, run epr 126.02, run loss 62.00
time 06h 56m 31s, episodes 25332, frames 28241814, run epr 127.07, run loss 43.82
time 06h 57m 46s, episodes 25379, frames 28327907, run epr 126.14, run loss 39.47
time 06h 58m 53s, episodes 25418, frames 28403581, run epr 127.70, run loss 42.42
time 07h 00m 27s, episodes 25468, frames 28509426, run epr 116.53, run loss 24.41
time 07h 01m 28s, episodes 25503, frames 28578097, run epr 131.49, run loss 45.14
time 07h 02m 34s, episodes 25541, frames 28653236, run epr 116.73, run loss 25.02
time 07h 03m 39s, episodes 25580, frames 28725843, run epr 124.49, run loss 48.81
time 07h 04m 55s, episodes 25623, frames 28812479, run epr 123.72, run loss 39.84
time 07h 06m 03s, episodes 25664, frames 28889581, run epr 119.90, run loss 31.25
time 07h 07m 14s, episodes 25706, frames 28969334, run epr 138.13, run loss 69.86
time 07h 08m 18s, episodes 25741, frames 29042153, run epr 126.32, run loss 47.80
time 07h 09m 29s, episodes 25782, frames 29123592, run epr 132.87, run loss 51.71
time 07h 10m 33s, episodes 25820, frames 29196187, run epr 134.23, run loss 58.58
time 07h 11m 49s, episodes 25861, frames 29281535, run epr 132.14, run loss 43.11
time 07h 13m 01s, episodes 25903, frames 29363453, run epr 135.62, run loss 50.01
time 07h 14m 06s, episodes 25943, frames 29437612, run epr 127.33, run loss 46.38
time 07h 15m 30s, episodes 25988, frames 29532666, run epr 134.56, run loss 69.34
time 07h 16m 54s, episodes 26039, frames 29628223, run epr 130.92, run loss 71.33
time 07h 18m 04s, episodes 26078, frames 29708258, run epr 128.04, run loss 60.75
time 07h 19m 25s, episodes 26126, frames 29799299, run epr 119.56, run loss 43.71
time 07h 20m 29s, episodes 26165, frames 29871622, run epr 121.46, run loss 37.13
time 07h 21m 35s, episodes 26203, frames 29946486, run epr 128.83, run loss 47.02

	step 30000000: saved model

time 07h 22m 45s, episodes 26241, frames 30025670, run epr 126.77, run loss 38.31
time 07h 23m 53s, episodes 26278, frames 30102740, run epr 128.45, run loss 33.26
time 07h 24m 59s, episodes 26315, frames 30178329, run epr 140.61, run loss 53.25
time 07h 26m 24s, episodes 26365, frames 30275279, run epr 130.48, run loss 30.97
time 07h 27m 40s, episodes 26406, frames 30361854, run epr 143.23, run loss 42.47
time 07h 28m 49s, episodes 26448, frames 30440294, run epr 141.63, run loss 38.79
time 07h 30m 09s, episodes 26491, frames 30531794, run epr 140.01, run loss 48.44
time 07h 31m 14s, episodes 26528, frames 30604863, run epr 146.90, run loss 53.35
time 07h 32m 38s, episodes 26573, frames 30699347, run epr 151.53, run loss 68.98
time 07h 34m 16s, episodes 26627, frames 30810091, run epr 149.99, run loss 53.95
time 07h 35m 22s, episodes 26666, frames 30884965, run epr 136.41, run loss 49.16
time 07h 36m 26s, episodes 26705, frames 30957454, run epr 132.24, run loss 53.30
time 07h 37m 48s, episodes 26753, frames 31050567, run epr 128.27, run loss 59.19
time 07h 39m 28s, episodes 26805, frames 31163176, run epr 157.90, run loss 89.32
time 07h 40m 57s, episodes 26856, frames 31264548, run epr 158.28, run loss 82.33
time 07h 42m 04s, episodes 26896, frames 31340376, run epr 146.81, run loss 73.52
time 07h 43m 22s, episodes 26943, frames 31429749, run epr 138.82, run loss 56.78
time 07h 44m 39s, episodes 26982, frames 31516649, run epr 149.64, run loss 73.25
time 07h 45m 47s, episodes 27021, frames 31594342, run epr 135.10, run loss 40.84
time 07h 47m 01s, episodes 27058, frames 31678015, run epr 148.98, run loss 52.27
time 07h 48m 24s, episodes 27109, frames 31772744, run epr 147.18, run loss 65.62
time 07h 49m 41s, episodes 27151, frames 31859814, run epr 142.04, run loss 48.20
time 07h 51m 05s, episodes 27201, frames 31954942, run epr 137.66, run loss 38.24

	step 32000000: saved model

time 07h 52m 18s, episodes 27242, frames 32038221, run epr 127.95, run loss 36.97
time 07h 53m 31s, episodes 27281, frames 32121685, run epr 147.17, run loss 53.81
time 07h 54m 51s, episodes 27323, frames 32212594, run epr 167.93, run loss 88.34
time 07h 56m 05s, episodes 27367, frames 32296217, run epr 144.07, run loss 57.21
time 07h 57m 17s, episodes 27408, frames 32378943, run epr 151.39, run loss 70.85
time 07h 58m 28s, episodes 27447, frames 32458587, run epr 157.86, run loss 80.01
time 08h 00m 04s, episodes 27503, frames 32567319, run epr 132.99, run loss 63.27
time 08h 01m 19s, episodes 27549, frames 32651764, run epr 127.49, run loss 41.60
time 08h 02m 46s, episodes 27597, frames 32750190, run epr 129.17, run loss 53.54
time 08h 04m 04s, episodes 27641, frames 32837836, run epr 135.78, run loss 58.04
time 08h 05m 21s, episodes 27688, frames 32926260, run epr 145.18, run loss 57.36
time 08h 06m 46s, episodes 27733, frames 33023571, run epr 147.48, run loss 79.41
time 08h 07m 54s, episodes 27770, frames 33100589, run epr 169.09, run loss 118.36
time 08h 08m 57s, episodes 27808, frames 33173524, run epr 153.00, run loss 77.22
time 08h 10m 11s, episodes 27845, frames 33256616, run epr 144.04, run loss 64.23
time 08h 11m 25s, episodes 27887, frames 33341492, run epr 154.56, run loss 72.21
time 08h 12m 46s, episodes 27930, frames 33432326, run epr 155.45, run loss 57.03
time 08h 14m 01s, episodes 27974, frames 33516920, run epr 142.52, run loss 33.28
time 08h 15m 14s, episodes 28016, frames 33599631, run epr 147.11, run loss 41.50
time 08h 16m 49s, episodes 28064, frames 33707308, run epr 139.94, run loss 46.44
time 08h 17m 51s, episodes 28102, frames 33778597, run epr 144.51, run loss 47.13
time 08h 19m 09s, episodes 28144, frames 33867087, run epr 157.69, run loss 81.20
time 08h 20m 43s, episodes 28196, frames 33973904, run epr 154.54, run loss 69.41

	step 34000000: saved model

time 08h 21m 48s, episodes 28232, frames 34047831, run epr 148.84, run loss 56.32
time 08h 22m 57s, episodes 28272, frames 34125570, run epr 151.24, run loss 75.86
time 08h 24m 14s, episodes 28313, frames 34213897, run epr 158.26, run loss 82.00
time 08h 25m 32s, episodes 28352, frames 34301976, run epr 149.41, run loss 56.37
time 08h 27m 02s, episodes 28404, frames 34404697, run epr 146.73, run loss 38.66
time 08h 28m 14s, episodes 28442, frames 34485326, run epr 163.38, run loss 65.86
time 08h 29m 25s, episodes 28479, frames 34565823, run epr 169.54, run loss 78.99
time 08h 30m 28s, episodes 28513, frames 34637705, run epr 160.34, run loss 63.16
time 08h 31m 40s, episodes 28553, frames 34719256, run epr 145.16, run loss 52.73
time 08h 32m 53s, episodes 28591, frames 34801811, run epr 150.50, run loss 52.21
time 08h 34m 12s, episodes 28634, frames 34890703, run epr 144.57, run loss 53.72
time 08h 35m 15s, episodes 28670, frames 34963514, run epr 158.04, run loss 68.44
time 08h 36m 32s, episodes 28713, frames 35051285, run epr 150.28, run loss 69.99
time 08h 37m 47s, episodes 28754, frames 35136843, run epr 162.83, run loss 68.50
time 08h 39m 03s, episodes 28794, frames 35223244, run epr 159.54, run loss 65.65
time 08h 40m 07s, episodes 28831, frames 35295030, run epr 158.25, run loss 46.88
time 08h 41m 29s, episodes 28878, frames 35388964, run epr 146.76, run loss 47.44
time 08h 42m 58s, episodes 28927, frames 35490045, run epr 139.93, run loss 61.34
time 08h 44m 24s, episodes 28976, frames 35587590, run epr 150.29, run loss 66.12
time 08h 45m 40s, episodes 29015, frames 35672868, run epr 159.17, run loss 74.98
time 08h 46m 56s, episodes 29055, frames 35759643, run epr 167.23, run loss 101.96
time 08h 48m 23s, episodes 29104, frames 35857922, run epr 151.64, run loss 77.54
time 08h 49m 48s, episodes 29151, frames 35955504, run epr 155.50, run loss 65.77

	step 36000000: saved model

time 08h 50m 58s, episodes 29188, frames 36033963, run epr 146.77, run loss 49.19
time 08h 51m 59s, episodes 29224, frames 36103076, run epr 151.35, run loss 52.41
time 08h 53m 36s, episodes 29277, frames 36213251, run epr 169.28, run loss 82.25
time 08h 54m 51s, episodes 29316, frames 36298253, run epr 176.00, run loss 107.42
time 08h 56m 02s, episodes 29354, frames 36379753, run epr 170.27, run loss 85.23
time 08h 57m 45s, episodes 29411, frames 36497446, run epr 153.13, run loss 66.15
time 08h 59m 03s, episodes 29458, frames 36585615, run epr 136.91, run loss 50.82
time 09h 00m 09s, episodes 29493, frames 36661297, run epr 143.52, run loss 62.47
time 09h 01m 22s, episodes 29534, frames 36743983, run epr 137.87, run loss 50.58
time 09h 02m 44s, episodes 29582, frames 36836498, run epr 151.82, run loss 72.31
time 09h 03m 55s, episodes 29618, frames 36916097, run epr 146.29, run loss 68.44
time 09h 05m 19s, episodes 29666, frames 37010706, run epr 147.79, run loss 74.36
time 09h 06m 34s, episodes 29706, frames 37095130, run epr 150.61, run loss 69.90
time 09h 07m 56s, episodes 29752, frames 37188692, run epr 167.73, run loss 81.13
time 09h 09m 02s, episodes 29786, frames 37263805, run epr 164.75, run loss 60.88
time 09h 10m 32s, episodes 29837, frames 37365232, run epr 177.39, run loss 89.48
time 09h 11m 44s, episodes 29879, frames 37447321, run epr 164.95, run loss 72.70
time 09h 13m 13s, episodes 29922, frames 37547596, run epr 170.24, run loss 71.73
time 09h 14m 30s, episodes 29966, frames 37634041, run epr 165.18, run loss 67.41
time 09h 15m 32s, episodes 29994, frames 37703919, run epr 174.40, run loss 72.34
time 09h 16m 48s, episodes 30038, frames 37789721, run epr 175.54, run loss 90.81
time 09h 17m 54s, episodes 30075, frames 37864667, run epr 164.40, run loss 75.04
time 09h 19m 27s, episodes 30123, frames 37969687, run epr 180.18, run loss 107.23

	step 38000000: saved model

time 09h 20m 43s, episodes 30161, frames 38054394, run epr 178.45, run loss 89.66
time 09h 21m 43s, episodes 30195, frames 38122373, run epr 164.97, run loss 75.58
time 09h 23m 00s, episodes 30235, frames 38207660, run epr 172.42, run loss 79.88
time 09h 24m 29s, episodes 30281, frames 38307603, run epr 174.44, run loss 92.87
time 09h 25m 50s, episodes 30325, frames 38398212, run epr 184.31, run loss 114.98
time 09h 26m 56s, episodes 30360, frames 38471311, run epr 185.69, run loss 113.55
time 09h 28m 17s, episodes 30403, frames 38561848, run epr 170.54, run loss 69.09
time 09h 29m 21s, episodes 30438, frames 38633843, run epr 159.31, run loss 59.40
time 09h 30m 41s, episodes 30478, frames 38722571, run epr 153.31, run loss 44.33
time 09h 32m 31s, episodes 30542, frames 38843983, run epr 154.08, run loss 61.84
time 09h 34m 07s, episodes 30590, frames 38953201, run epr 172.52, run loss 74.69
time 09h 35m 11s, episodes 30625, frames 39025773, run epr 194.59, run loss 98.88
time 09h 36m 34s, episodes 30668, frames 39120326, run epr 178.98, run loss 97.74
time 09h 37m 56s, episodes 30711, frames 39213997, run epr 180.98, run loss 98.68
time 09h 39m 05s, episodes 30750, frames 39292134, run epr 172.98, run loss 77.07
time 09h 40m 09s, episodes 30785, frames 39365145, run epr 168.15, run loss 84.87
time 09h 41m 16s, episodes 30826, frames 39441524, run epr 171.79, run loss 84.26
time 09h 42m 32s, episodes 30865, frames 39527498, run epr 166.31, run loss 75.45
time 09h 43m 36s, episodes 30901, frames 39600658, run epr 166.95, run loss 78.07
time 09h 44m 52s, episodes 30939, frames 39686568, run epr 158.58, run loss 55.77
time 09h 46m 25s, episodes 30988, frames 39792924, run epr 179.26, run loss 95.49
time 09h 47m 45s, episodes 31030, frames 39883936, run epr 174.84, run loss 82.30
time 09h 48m 54s, episodes 31071, frames 39961419, run epr 185.08, run loss 110.30

	step 40000000: saved model


	step 40000000: saved model

time 09h 51m 00s, episodes 31140, frames 40104605, run epr 179.83, run loss 99.64
time 09h 52m 25s, episodes 31188, frames 40201994, run epr 164.30, run loss 83.39
time 09h 53m 41s, episodes 31228, frames 40288102, run epr 174.02, run loss 83.81
time 09h 55m 08s, episodes 31275, frames 40385624, run epr 178.42, run loss 76.77
time 09h 56m 30s, episodes 31318, frames 40479181, run epr 174.29, run loss 61.10
time 09h 57m 47s, episodes 31361, frames 40566103, run epr 173.70, run loss 65.86
time 09h 58m 58s, episodes 31400, frames 40646061, run epr 167.81, run loss 74.27
time 10h 00m 14s, episodes 31440, frames 40732968, run epr 168.05, run loss 59.04
time 10h 01m 28s, episodes 31481, frames 40816551, run epr 173.95, run loss 75.66
time 10h 02m 55s, episodes 31524, frames 40913833, run epr 181.21, run loss 81.00
time 10h 04m 26s, episodes 31574, frames 41017172, run epr 180.68, run loss 70.31
time 10h 05m 43s, episodes 31617, frames 41103695, run epr 161.11, run loss 51.00
time 10h 06m 58s, episodes 31661, frames 41189251, run epr 155.77, run loss 58.83
time 10h 08m 13s, episodes 31698, frames 41274806, run epr 150.62, run loss 50.26
time 10h 09m 32s, episodes 31739, frames 41364544, run epr 179.68, run loss 75.86
time 10h 10m 54s, episodes 31787, frames 41457851, run epr 170.18, run loss 76.06
time 10h 11m 58s, episodes 31823, frames 41530517, run epr 163.84, run loss 73.63
time 10h 13m 02s, episodes 31854, frames 41602783, run epr 188.13, run loss 105.80
time 10h 14m 22s, episodes 31897, frames 41693191, run epr 176.64, run loss 85.19
time 10h 15m 50s, episodes 31945, frames 41793415, run epr 180.10, run loss 99.35
time 10h 17m 11s, episodes 31991, frames 41886296, run epr 180.81, run loss 88.23
time 10h 18m 19s, episodes 32026, frames 41963884, run epr 178.89, run loss 94.46

	step 42000000: saved model

time 10h 19m 21s, episodes 32057, frames 42033445, run epr 166.00, run loss 87.67
time 10h 20m 49s, episodes 32104, frames 42132842, run epr 168.91, run loss 83.39
time 10h 21m 53s, episodes 32143, frames 42205485, run epr 164.53, run loss 68.51
time 10h 22m 57s, episodes 32184, frames 42277199, run epr 139.03, run loss 46.29
time 10h 24m 05s, episodes 32220, frames 42354703, run epr 138.28, run loss 50.40
time 10h 25m 20s, episodes 32264, frames 42439801, run epr 141.98, run loss 43.59
time 10h 26m 52s, episodes 32313, frames 42541778, run epr 153.33, run loss 68.21
time 10h 28m 02s, episodes 32354, frames 42620278, run epr 149.67, run loss 60.30
time 10h 29m 23s, episodes 32396, frames 42711467, run epr 161.88, run loss 73.60
time 10h 30m 46s, episodes 32446, frames 42805552, run epr 148.43, run loss 50.66
time 10h 32m 14s, episodes 32489, frames 42904526, run epr 172.72, run loss 59.91
time 10h 33m 40s, episodes 32534, frames 43000927, run epr 198.09, run loss 78.53
time 10h 34m 53s, episodes 32576, frames 43083309, run epr 174.83, run loss 72.03
time 10h 36m 08s, episodes 32615, frames 43168825, run epr 188.35, run loss 66.69
time 10h 37m 30s, episodes 32660, frames 43262255, run epr 185.14, run loss 79.57
time 10h 38m 47s, episodes 32702, frames 43349570, run epr 174.14, run loss 67.13
time 10h 40m 13s, episodes 32746, frames 43447517, run epr 165.68, run loss 62.60
time 10h 41m 25s, episodes 32787, frames 43528410, run epr 173.11, run loss 75.28
time 10h 42m 37s, episodes 32825, frames 43611966, run epr 164.85, run loss 69.74
time 10h 43m 47s, episodes 32862, frames 43691619, run epr 191.49, run loss 93.54
time 10h 45m 18s, episodes 32911, frames 43795081, run epr 201.42, run loss 84.21
time 10h 46m 38s, episodes 32952, frames 43885864, run epr 189.84, run loss 88.65
time 10h 47m 59s, episodes 32997, frames 43977174, run epr 178.13, run loss 79.98

	step 44000000: saved model

time 10h 49m 01s, episodes 33031, frames 44048077, run epr 179.90, run loss 74.75
time 10h 50m 03s, episodes 33065, frames 44115881, run epr 160.37, run loss 60.63
time 10h 51m 15s, episodes 33104, frames 44197014, run epr 152.88, run loss 55.80
time 10h 52m 43s, episodes 33153, frames 44296336, run epr 155.08, run loss 56.02
time 10h 53m 51s, episodes 33190, frames 44373243, run epr 171.86, run loss 84.39
time 10h 55m 15s, episodes 33234, frames 44468590, run epr 180.22, run loss 86.97
time 10h 56m 33s, episodes 33276, frames 44557401, run epr 179.32, run loss 90.76
time 10h 57m 58s, episodes 33322, frames 44654079, run epr 161.08, run loss 52.62
time 10h 59m 12s, episodes 33361, frames 44738615, run epr 172.22, run loss 72.05
time 11h 00m 22s, episodes 33400, frames 44818337, run epr 188.73, run loss 111.78
time 11h 01m 45s, episodes 33441, frames 44912639, run epr 188.29, run loss 106.50
time 11h 03m 00s, episodes 33481, frames 44997308, run epr 181.86, run loss 98.78
time 11h 04m 31s, episodes 33530, frames 45100789, run epr 179.50, run loss 98.75
time 11h 05m 42s, episodes 33567, frames 45180467, run epr 188.22, run loss 85.64
time 11h 07m 19s, episodes 33616, frames 45289093, run epr 180.86, run loss 72.99
time 11h 08m 41s, episodes 33659, frames 45383254, run epr 183.29, run loss 96.35
time 11h 10m 02s, episodes 33702, frames 45474340, run epr 193.72, run loss 90.40
time 11h 11m 08s, episodes 33739, frames 45549947, run epr 169.79, run loss 60.10
time 11h 12m 25s, episodes 33781, frames 45637325, run epr 150.36, run loss 53.87
time 11h 13m 32s, episodes 33819, frames 45713642, run epr 164.23, run loss 85.50
time 11h 14m 44s, episodes 33855, frames 45795430, run epr 194.13, run loss 133.76
time 11h 16m 02s, episodes 33898, frames 45883637, run epr 178.62, run loss 95.61
time 11h 17m 10s, episodes 33937, frames 45961403, run epr 159.87, run loss 60.75

	step 46000000: saved model

time 11h 18m 27s, episodes 33976, frames 46048095, run epr 190.98, run loss 98.81
time 11h 19m 50s, episodes 34018, frames 46141669, run epr 184.96, run loss 75.68
time 11h 21m 17s, episodes 34064, frames 46239808, run epr 204.14, run loss 114.84
time 11h 22m 32s, episodes 34103, frames 46325230, run epr 213.88, run loss 119.48
time 11h 23m 54s, episodes 34143, frames 46417806, run epr 199.46, run loss 109.19
time 11h 25m 27s, episodes 34194, frames 46523662, run epr 215.27, run loss 104.68
time 11h 26m 55s, episodes 34240, frames 46622779, run epr 182.43, run loss 90.25
time 11h 28m 14s, episodes 34284, frames 46711948, run epr 179.42, run loss 75.53
time 11h 29m 43s, episodes 34332, frames 46812944, run epr 176.35, run loss 66.56
time 11h 31m 15s, episodes 34380, frames 46917546, run epr 188.94, run loss 84.59
time 11h 32m 22s, episodes 34416, frames 46992723, run epr 192.13, run loss 84.31
time 11h 33m 28s, episodes 34454, frames 47066595, run epr 179.77, run loss 78.93
time 11h 34m 42s, episodes 34494, frames 47150105, run epr 177.94, run loss 78.66
time 11h 36m 00s, episodes 34532, frames 47237578, run epr 186.17, run loss 76.97
time 11h 37m 04s, episodes 34565, frames 47309585, run epr 184.57, run loss 90.18
time 11h 38m 32s, episodes 34613, frames 47410339, run epr 177.39, run loss 80.10
time 11h 39m 46s, episodes 34652, frames 47494745, run epr 162.75, run loss 54.27
time 11h 40m 48s, episodes 34685, frames 47565610, run epr 179.85, run loss 74.66
time 11h 42m 26s, episodes 34736, frames 47676271, run epr 185.91, run loss 95.13
time 11h 43m 32s, episodes 34772, frames 47751217, run epr 192.15, run loss 87.45
time 11h 44m 47s, episodes 34808, frames 47835779, run epr 199.20, run loss 87.76
time 11h 45m 55s, episodes 34847, frames 47912476, run epr 185.76, run loss 84.41

	step 48000000: saved model

time 11h 47m 20s, episodes 34893, frames 48010041, run epr 169.05, run loss 72.97
time 11h 48m 37s, episodes 34933, frames 48096949, run epr 182.30, run loss 94.32
time 11h 49m 43s, episodes 34969, frames 48170624, run epr 204.72, run loss 126.43
time 11h 50m 58s, episodes 35008, frames 48256129, run epr 179.79, run loss 100.33
time 11h 52m 40s, episodes 35062, frames 48371792, run epr 192.18, run loss 98.59
time 11h 54m 18s, episodes 35113, frames 48482731, run epr 185.31, run loss 80.54
time 11h 55m 19s, episodes 35147, frames 48551160, run epr 186.12, run loss 79.14
time 11h 56m 38s, episodes 35190, frames 48641269, run epr 204.92, run loss 124.37
time 11h 57m 52s, episodes 35228, frames 48724971, run epr 190.12, run loss 100.30
time 11h 59m 24s, episodes 35279, frames 48829446, run epr 162.70, run loss 75.16
time 12h 00m 38s, episodes 35318, frames 48913648, run epr 164.89, run loss 60.09
time 12h 01m 58s, episodes 35362, frames 49004277, run epr 177.72, run loss 91.99
time 12h 03m 18s, episodes 35403, frames 49093883, run epr 187.35, run loss 81.53
time 12h 04m 40s, episodes 35452, frames 49186542, run epr 165.75, run loss 67.11
time 12h 06m 02s, episodes 35492, frames 49280871, run epr 183.70, run loss 68.91
time 12h 07m 35s, episodes 35539, frames 49385501, run epr 198.75, run loss 114.66
time 12h 09m 00s, episodes 35584, frames 49481755, run epr 218.34, run loss 129.35
time 12h 10m 25s, episodes 35624, frames 49577660, run epr 215.04, run loss 123.27
time 12h 11m 56s, episodes 35672, frames 49681671, run epr 203.28, run loss 92.03
time 12h 13m 29s, episodes 35719, frames 49786348, run epr 201.22, run loss 82.59
time 12h 14m 52s, episodes 35762, frames 49880423, run epr 224.63, run loss 105.10
time 12h 16m 11s, episodes 35798, frames 49969971, run epr 221.21, run loss 89.99

	step 50000000: saved model

time 12h 17m 29s, episodes 35842, frames 50057864, run epr 194.89, run loss 89.50
time 12h 18m 47s, episodes 35884, frames 50147329, run epr 215.61, run loss 106.88
time 12h 19m 58s, episodes 35926, frames 50228541, run epr 195.86, run loss 83.47
time 12h 21m 21s, episodes 35971, frames 50321778, run epr 180.74, run loss 83.60
time 12h 22m 29s, episodes 36005, frames 50398912, run epr 183.77, run loss 81.06
time 12h 24m 07s, episodes 36054, frames 50511408, run epr 206.76, run loss 92.75
time 12h 25m 13s, episodes 36087, frames 50587081, run epr 208.13, run loss 92.69
time 12h 26m 27s, episodes 36126, frames 50671729, run epr 237.41, run loss 118.16
time 12h 27m 40s, episodes 36162, frames 50753818, run epr 204.83, run loss 87.23
time 12h 29m 10s, episodes 36211, frames 50856574, run epr 204.65, run loss 109.44
time 12h 30m 26s, episodes 36251, frames 50943593, run epr 208.61, run loss 106.57
time 12h 32m 06s, episodes 36301, frames 51056478, run epr 210.08, run loss 91.24
time 12h 33m 29s, episodes 36341, frames 51148678, run epr 196.38, run loss 80.10
time 12h 34m 46s, episodes 36380, frames 51235330, run epr 204.77, run loss 89.86
time 12h 36m 12s, episodes 36426, frames 51333224, run epr 192.69, run loss 88.00
time 12h 37m 14s, episodes 36458, frames 51403919, run epr 199.32, run loss 106.26
time 12h 38m 28s, episodes 36495, frames 51486955, run epr 211.53, run loss 105.12
time 12h 39m 29s, episodes 36528, frames 51556379, run epr 202.27, run loss 102.54
time 12h 40m 52s, episodes 36568, frames 51650742, run epr 224.58, run loss 127.18
time 12h 41m 58s, episodes 36604, frames 51725777, run epr 218.78, run loss 102.82
time 12h 43m 16s, episodes 36642, frames 51813496, run epr 229.27, run loss 110.03
time 12h 44m 32s, episodes 36677, frames 51900362, run epr 227.18, run loss 95.04

	step 52000000: saved model

time 12h 46m 02s, episodes 36726, frames 52001322, run epr 220.36, run loss 103.97
time 12h 47m 15s, episodes 36761, frames 52084088, run epr 199.38, run loss 95.26
time 12h 48m 44s, episodes 36809, frames 52184763, run epr 202.95, run loss 99.50
time 12h 49m 58s, episodes 36843, frames 52268189, run epr 212.91, run loss 117.21
time 12h 51m 11s, episodes 36880, frames 52351622, run epr 226.43, run loss 112.71
time 12h 52m 45s, episodes 36928, frames 52457060, run epr 235.85, run loss 120.09
time 12h 54m 11s, episodes 36973, frames 52554827, run epr 207.38, run loss 104.16
time 12h 55m 22s, episodes 37010, frames 52635951, run epr 207.43, run loss 90.54
time 12h 56m 31s, episodes 37044, frames 52713872, run epr 200.04, run loss 78.65
time 12h 57m 47s, episodes 37084, frames 52800035, run epr 196.66, run loss 88.54
time 12h 59m 09s, episodes 37125, frames 52892332, run epr 223.39, run loss 118.92
time 13h 00m 21s, episodes 37160, frames 52974299, run epr 208.20, run loss 118.48
time 13h 01m 37s, episodes 37198, frames 53059297, run epr 221.94, run loss 116.46
time 13h 02m 56s, episodes 37242, frames 53147316, run epr 192.77, run loss 77.30
time 13h 04m 04s, episodes 37278, frames 53223393, run epr 201.67, run loss 104.06
time 13h 05m 35s, episodes 37322, frames 53326594, run epr 205.25, run loss 116.98
time 13h 07m 14s, episodes 37375, frames 53440073, run epr 195.86, run loss 95.56
time 13h 08m 29s, episodes 37415, frames 53524615, run epr 216.77, run loss 118.38
time 13h 09m 46s, episodes 37452, frames 53611227, run epr 220.24, run loss 110.64
time 13h 11m 06s, episodes 37490, frames 53701422, run epr 225.20, run loss 130.23
time 13h 12m 30s, episodes 37534, frames 53796278, run epr 236.79, run loss 135.98
time 13h 13m 53s, episodes 37572, frames 53890784, run epr 227.94, run loss 112.65
time 13h 15m 07s, episodes 37612, frames 53974299, run epr 228.13, run loss 136.27

	step 54000000: saved model

time 13h 16m 28s, episodes 37652, frames 54066526, run epr 242.15, run loss 130.31
time 13h 17m 41s, episodes 37685, frames 54149307, run epr 246.05, run loss 163.51
time 13h 19m 11s, episodes 37732, frames 54251135, run epr 244.38, run loss 128.17
time 13h 20m 49s, episodes 37779, frames 54361366, run epr 229.22, run loss 117.60
time 13h 22m 13s, episodes 37822, frames 54455392, run epr 225.86, run loss 105.82
time 13h 23m 30s, episodes 37865, frames 54542642, run epr 200.70, run loss 82.67
time 13h 25m 00s, episodes 37908, frames 54644087, run epr 198.66, run loss 84.08
time 13h 26m 14s, episodes 37951, frames 54729122, run epr 203.72, run loss 97.63
time 13h 27m 27s, episodes 37988, frames 54811705, run epr 195.91, run loss 89.52
time 13h 28m 32s, episodes 38023, frames 54885493, run epr 198.69, run loss 108.40
time 13h 29m 43s, episodes 38060, frames 54965233, run epr 199.84, run loss 78.91
time 13h 31m 10s, episodes 38107, frames 55063773, run epr 193.90, run loss 81.47
time 13h 32m 21s, episodes 38142, frames 55144014, run epr 191.90, run loss 97.82
time 13h 33m 47s, episodes 38186, frames 55240428, run epr 198.24, run loss 90.51
time 13h 35m 10s, episodes 38232, frames 55335022, run epr 204.88, run loss 117.28
time 13h 36m 17s, episodes 38265, frames 55411567, run epr 207.28, run loss 110.03
time 13h 37m 31s, episodes 38304, frames 55494915, run epr 196.47, run loss 98.53
time 13h 38m 48s, episodes 38343, frames 55582028, run epr 189.08, run loss 76.21
time 13h 39m 55s, episodes 38378, frames 55658097, run epr 183.22, run loss 78.65
time 13h 41m 08s, episodes 38416, frames 55739586, run epr 186.54, run loss 84.77
time 13h 42m 13s, episodes 38450, frames 55813372, run epr 184.48, run loss 76.12
time 13h 43m 21s, episodes 38487, frames 55891695, run epr 203.58, run loss 114.00
time 13h 44m 42s, episodes 38529, frames 55983680, run epr 209.98, run loss 120.53

	step 56000000: saved model

time 13h 46m 07s, episodes 38574, frames 56080345, run epr 192.53, run loss 109.34
time 13h 47m 46s, episodes 38626, frames 56192856, run epr 183.79, run loss 81.56
time 13h 48m 57s, episodes 38665, frames 56273894, run epr 172.03, run loss 87.62
time 13h 50m 34s, episodes 38715, frames 56383693, run epr 190.14, run loss 105.09
time 13h 51m 42s, episodes 38751, frames 56461597, run epr 185.23, run loss 97.50
time 13h 52m 48s, episodes 38784, frames 56535749, run epr 176.21, run loss 84.67
time 13h 53m 59s, episodes 38825, frames 56616689, run epr 180.73, run loss 82.31
time 13h 55m 08s, episodes 38859, frames 56694676, run epr 180.27, run loss 79.09
time 13h 56m 34s, episodes 38902, frames 56791285, run epr 200.81, run loss 109.74
