time 01h 38m 47s, episodes 4669, frames 3954245, run epr 563.18, run loss 419.68

	step 4000000: saved model

time 01h 40m 11s, episodes 4732, frames 4006429, run epr 602.49, run loss 446.09
time 01h 41m 41s, episodes 4794, frames 4061237, run epr 579.68, run loss 459.63
time 01h 43m 17s, episodes 4861, frames 4120301, run epr 519.97, run loss 412.05
time 01h 44m 18s, episodes 4905, frames 4157820, run epr 542.19, run loss 429.11
time 01h 45m 37s, episodes 4959, frames 4206912, run epr 565.37, run loss 431.19
time 01h 46m 39s, episodes 5002, frames 4244114, run epr 493.99, run loss 395.62
time 01h 47m 39s, episodes 5044, frames 4281197, run epr 501.76, run loss 408.85
time 01h 48m 56s, episodes 5101, frames 4327919, run epr 606.09, run loss 440.97
time 01h 50m 03s, episodes 5144, frames 4368363, run epr 616.29, run loss 460.03
time 01h 51m 04s, episodes 5188, frames 4406147, run epr 562.82, run loss 414.59
time 01h 52m 06s, episodes 5232, frames 4443828, run epr 547.69, run loss 405.75
time 01h 53m 25s, episodes 5291, frames 4493028, run epr 550.59, run loss 402.75
time 01h 54m 31s, episodes 5338, frames 4533243, run epr 540.44, run loss 390.78
time 01h 55m 47s, episodes 5395, frames 4580621, run epr 565.47, run loss 436.86
time 01h 56m 49s, episodes 5442, frames 4619716, run epr 582.43, run loss 434.35
time 01h 57m 52s, episodes 5489, frames 4658833, run epr 558.81, run loss 402.67
time 01h 58m 54s, episodes 5532, frames 4696693, run epr 568.63, run loss 436.54
time 01h 59m 55s, episodes 5579, frames 4735224, run epr 588.93, run loss 434.53
time 02h 01m 16s, episodes 5635, frames 4786020, run epr 609.58, run loss 442.85
time 02h 02m 42s, episodes 5695, frames 4840439, run epr 575.12, run loss 434.48
time 02h 04m 17s, episodes 5764, frames 4899981, run epr 617.21, run loss 464.96
time 02h 05m 39s, episodes 5821, frames 4951112, run epr 608.27, run loss 439.11
time 02h 06m 50s, episodes 5872, frames 4995204, run epr 557.65, run loss 399.73
time 02h 08m 16s, episodes 5936, frames 5049561, run epr 549.05, run loss 405.95
time 02h 09m 37s, episodes 5996, frames 5100428, run epr 521.62, run loss 386.71
time 02h 11m 04s, episodes 6061, frames 5154592, run epr 528.33, run loss 418.86
time 02h 12m 16s, episodes 6114, frames 5201170, run epr 579.30, run loss 461.24
time 02h 13m 37s, episodes 6173, frames 5251804, run epr 582.42, run loss 444.61
time 02h 14m 52s, episodes 6223, frames 5297287, run epr 589.36, run loss 444.57
time 02h 16m 17s, episodes 6283, frames 5350765, run epr 680.89, run loss 470.49
time 02h 17m 29s, episodes 6336, frames 5395967, run epr 648.38, run loss 463.54
time 02h 18m 46s, episodes 6393, frames 5444430, run epr 627.77, run loss 457.10
time 02h 19m 53s, episodes 6438, frames 5487799, run epr 680.10, run loss 499.05
time 02h 21m 23s, episodes 6505, frames 5543567, run epr 648.95, run loss 480.01
time 02h 22m 56s, episodes 6571, frames 5601892, run epr 596.92, run loss 420.37
time 02h 24m 09s, episodes 6625, frames 5647876, run epr 663.92, run loss 458.93
time 02h 25m 43s, episodes 6695, frames 5707024, run epr 623.10, run loss 443.77
time 02h 26m 45s, episodes 6741, frames 5747044, run epr 597.00, run loss 462.49
time 02h 27m 46s, episodes 6783, frames 5785855, run epr 621.84, run loss 469.56
time 02h 29m 04s, episodes 6839, frames 5832898, run epr 573.59, run loss 463.67
time 02h 30m 09s, episodes 6883, frames 5873766, run epr 604.93, run loss 452.98
time 02h 31m 27s, episodes 6939, frames 5922320, run epr 616.32, run loss 446.37
time 02h 32m 32s, episodes 6982, frames 5961506, run epr 582.79, run loss 476.79

	step 6000000: saved model

time 02h 34m 02s, episodes 7048, frames 6017318, run epr 585.72, run loss 440.54
time 02h 35m 18s, episodes 7103, frames 6065578, run epr 625.55, run loss 448.41
time 02h 36m 37s, episodes 7161, frames 6115539, run epr 534.63, run loss 375.14
time 02h 37m 49s, episodes 7215, frames 6160601, run epr 584.89, run loss 403.61
time 02h 39m 07s, episodes 7267, frames 6208387, run epr 604.28, run loss 428.07
time 02h 40m 53s, episodes 7341, frames 6273264, run epr 576.89, run loss 405.49
time 02h 41m 53s, episodes 7390, frames 6311922, run epr 522.54, run loss 417.62
time 02h 43m 17s, episodes 7449, frames 6364383, run epr 532.88, run loss 430.61
time 02h 44m 38s, episodes 7506, frames 6414660, run epr 683.27, run loss 453.61
time 02h 46m 05s, episodes 7569, frames 6467882, run epr 563.96, run loss 386.78
time 02h 47m 25s, episodes 7624, frames 6517887, run epr 604.27, run loss 412.36
time 02h 48m 52s, episodes 7688, frames 6572962, run epr 589.10, run loss 446.58
time 02h 50m 00s, episodes 7741, frames 6615672, run epr 574.00, run loss 473.90
time 02h 51m 14s, episodes 7798, frames 6663561, run epr 548.37, run loss 460.78
time 02h 52m 29s, episodes 7854, frames 6714682, run epr 600.88, run loss 421.59
time 02h 53m 42s, episodes 7912, frames 6767140, run epr 588.34, run loss 474.93
time 02h 55m 08s, episodes 7985, frames 6829112, run epr 563.28, run loss 420.26
time 02h 56m 20s, episodes 8050, frames 6884592, run epr 553.05, run loss 450.93
time 02h 57m 32s, episodes 8110, frames 6940243, run epr 564.44, run loss 481.49
time 02h 58m 36s, episodes 8169, frames 6990002, run epr 595.25, run loss 483.32
time 02h 59m 38s, episodes 8223, frames 7039501, run epr 581.05, run loss 513.11
time 03h 00m 46s, episodes 8287, frames 7094114, run epr 585.48, run loss 455.26
time 03h 01m 51s, episodes 8348, frames 7146330, run epr 631.29, run loss 442.51
time 03h 03m 03s, episodes 8411, frames 7202000, run epr 625.02, run loss 455.53
