
time 01h 26m 38s, episodes 7207, frames 5.4M, run epr 288.15, run loss 28.78
time 01h 27m 39s, episodes 7288, frames 5.5M, run epr 301.85, run loss 33.85
time 01h 28m 48s, episodes 7381, frames 5.5M, run epr 313.78, run loss 32.99
time 01h 29m 53s, episodes 7466, frames 5.6M, run epr 325.94, run loss 32.14
time 01h 31m 07s, episodes 7563, frames 5.7M, run epr 328.78, run loss 36.26
time 01h 32m 17s, episodes 7644, frames 5.8M, run epr 367.27, run loss 42.41
time 01h 33m 29s, episodes 7735, frames 5.8M, run epr 356.07, run loss 41.41
time 01h 34m 39s, episodes 7817, frames 5.9M, run epr 365.75, run loss 42.94
time 01h 35m 58s, episodes 7909, frames 6.0M, run epr 358.41, run loss 40.36

	6M frames: saved model

time 01h 37m 02s, episodes 7986, frames 6.0M, run epr 355.64, run loss 42.45
time 01h 38m 17s, episodes 8076, frames 6.1M, run epr 362.66, run loss 44.62
time 01h 39m 18s, episodes 8152, frames 6.2M, run epr 362.08, run loss 44.95
time 01h 40m 26s, episodes 8238, frames 6.3M, run epr 346.49, run loss 46.43
time 01h 41m 32s, episodes 8316, frames 6.3M, run epr 355.29, run loss 44.13
time 01h 42m 43s, episodes 8393, frames 6.4M, run epr 365.05, run loss 46.37
time 01h 43m 53s, episodes 8480, frames 6.5M, run epr 378.39, run loss 49.91
time 01h 45m 11s, episodes 8579, frames 6.5M, run epr 369.24, run loss 45.06
time 01h 46m 11s, episodes 8654, frames 6.6M, run epr 368.65, run loss 44.93
time 01h 47m 18s, episodes 8735, frames 6.7M, run epr 373.02, run loss 45.72
time 01h 48m 25s, episodes 8817, frames 6.7M, run epr 371.22, run loss 46.24
time 01h 49m 42s, episodes 8913, frames 6.8M, run epr 374.13, run loss 40.20
time 01h 50m 55s, episodes 9010, frames 6.9M, run epr 360.27, run loss 44.08
time 01h 52m 00s, episodes 9089, frames 7.0M, run epr 369.30, run loss 47.28
time 01h 53m 00s, episodes 9166, frames 7.0M, run epr 364.39, run loss 43.67
time 01h 54m 15s, episodes 9251, frames 7.1M, run epr 375.49, run loss 51.62
time 01h 55m 16s, episodes 9325, frames 7.2M, run epr 379.94, run loss 55.20
