
time 01h 15m 06s, episodes 1985, frames 5.7M, mean epr 14.61, run loss -36.18
time 01h 16m 06s, episodes 2013, frames 5.8M, mean epr 15.01, run loss -36.58
time 01h 17m 06s, episodes 2042, frames 5.9M, mean epr 15.41, run loss -36.51
time 01h 18m 06s, episodes 2068, frames 5.9M, mean epr 15.35, run loss -38.96

	6M frames: saved model

time 01h 19m 06s, episodes 2097, frames 6.0M, mean epr 15.27, run loss -40.25
time 01h 20m 06s, episodes 2124, frames 6.1M, mean epr 15.28, run loss -38.24
time 01h 21m 06s, episodes 2152, frames 6.2M, mean epr 15.20, run loss -38.91
time 01h 22m 07s, episodes 2177, frames 6.3M, mean epr 15.15, run loss -39.70
time 01h 23m 07s, episodes 2211, frames 6.4M, mean epr 15.72, run loss -39.81
time 01h 24m 07s, episodes 2237, frames 6.4M, mean epr 15.67, run loss -40.89
time 01h 25m 07s, episodes 2267, frames 6.5M, mean epr 15.99, run loss -39.82
time 01h 26m 07s, episodes 2297, frames 6.6M, mean epr 16.44, run loss -37.68
time 01h 27m 07s, episodes 2325, frames 6.7M, mean epr 16.49, run loss -38.65
time 01h 28m 07s, episodes 2354, frames 6.8M, mean epr 16.25, run loss -37.13
time 01h 29m 07s, episodes 2383, frames 6.8M, mean epr 16.26, run loss -37.51
time 01h 30m 07s, episodes 2412, frames 6.9M, mean epr 16.80, run loss -36.93
time 01h 31m 07s, episodes 2442, frames 7.0M, mean epr 16.92, run loss -37.12
time 01h 32m 07s, episodes 2473, frames 7.1M, mean epr 16.97, run loss -38.57
time 01h 33m 07s, episodes 2502, frames 7.2M, mean epr 17.20, run loss -38.31
time 01h 34m 07s, episodes 2532, frames 7.3M, mean epr 17.08, run loss -40.12
time 01h 35m 07s, episodes 2563, frames 7.3M, mean epr 16.95, run loss -40.69
time 01h 36m 07s, episodes 2593, frames 7.4M, mean epr 16.55, run loss -40.04
time 01h 37m 07s, episodes 2621, frames 7.5M, mean epr 16.49, run loss -39.50
time 01h 38m 08s, episodes 2652, frames 7.6M, mean epr 16.35, run loss -40.86
time 01h 39m 08s, episodes 2681, frames 7.7M, mean epr 16.61, run loss -41.36
time 01h 40m 08s, episodes 2710, frames 7.8M, mean epr 16.49, run loss -43.26
time 01h 41m 08s, episodes 2738, frames 7.8M, mean epr 16.70, run loss -42.11
time 01h 42m 08s, episodes 2770, frames 7.9M, mean epr 17.04, run loss -42.03

	8M frames: saved model

time 01h 43m 08s, episodes 2801, frames 8.0M, mean epr 17.12, run loss -41.87
time 01h 44m 08s, episodes 2827, frames 8.1M, mean epr 17.18, run loss -41.52
time 01h 45m 08s, episodes 2862, frames 8.2M, mean epr 17.16, run loss -41.18
time 01h 46m 08s, episodes 2890, frames 8.2M, mean epr 17.05, run loss -41.36
time 01h 47m 08s, episodes 2922, frames 8.3M, mean epr 17.11, run loss -40.09
time 01h 48m 08s, episodes 2951, frames 8.4M, mean epr 17.12, run loss -39.59
time 01h 49m 08s, episodes 2982, frames 8.5M, mean epr 17.26, run loss -39.74
time 01h 50m 08s, episodes 3013, frames 8.6M, mean epr 17.43, run loss -39.91
time 01h 51m 08s, episodes 3044, frames 8.7M, mean epr 17.45, run loss -40.11
time 01h 52m 08s, episodes 3073, frames 8.7M, mean epr 17.42, run loss -38.16
