
time 01h 15m 05s, episodes 7108, frames 5.5M, mean epr 370.91, run loss 61.32
time 01h 16m 05s, episodes 7189, frames 5.6M, mean epr 382.87, run loss 61.78
time 01h 17m 05s, episodes 7278, frames 5.7M, mean epr 381.67, run loss 63.03
time 01h 18m 05s, episodes 7361, frames 5.8M, mean epr 393.58, run loss 62.21
time 01h 19m 05s, episodes 7441, frames 5.8M, mean epr 392.96, run loss 64.95
time 01h 20m 05s, episodes 7518, frames 5.9M, mean epr 400.04, run loss 64.03
time 01h 21m 05s, episodes 7609, frames 6.0M, mean epr 383.03, run loss 59.57

	6M frames: saved model

time 01h 22m 05s, episodes 7698, frames 6.0M, mean epr 360.46, run loss 55.96
time 01h 23m 05s, episodes 7788, frames 6.1M, mean epr 344.42, run loss 54.94
time 01h 24m 05s, episodes 7872, frames 6.2M, mean epr 361.65, run loss 58.44
time 01h 25m 05s, episodes 7958, frames 6.3M, mean epr 357.78, run loss 58.06
time 01h 26m 05s, episodes 8039, frames 6.3M, mean epr 370.81, run loss 58.06
time 01h 27m 05s, episodes 8126, frames 6.4M, mean epr 408.95, run loss 66.07
time 01h 28m 06s, episodes 8217, frames 6.5M, mean epr 387.61, run loss 68.20
time 01h 29m 06s, episodes 8308, frames 6.6M, mean epr 394.78, run loss 63.48
time 01h 30m 06s, episodes 8388, frames 6.7M, mean epr 407.46, run loss 64.77
time 01h 31m 06s, episodes 8473, frames 6.7M, mean epr 384.21, run loss 59.13
time 01h 32m 06s, episodes 8558, frames 6.8M, mean epr 382.92, run loss 59.95
time 01h 33m 06s, episodes 8645, frames 6.9M, mean epr 356.23, run loss 52.01
time 01h 34m 06s, episodes 8730, frames 6.9M, mean epr 364.03, run loss 62.00
time 01h 35m 06s, episodes 8818, frames 7.0M, mean epr 369.28, run loss 63.76
time 01h 36m 06s, episodes 8907, frames 7.1M, mean epr 357.41, run loss 61.75
time 01h 37m 06s, episodes 8999, frames 7.2M, mean epr 357.36, run loss 56.43
time 01h 38m 06s, episodes 9080, frames 7.2M, mean epr 376.51, run loss 62.63
time 01h 39m 06s, episodes 9160, frames 7.3M, mean epr 411.29, run loss 63.79
time 01h 40m 06s, episodes 9239, frames 7.4M, mean epr 435.28, run loss 69.69
time 01h 41m 06s, episodes 9321, frames 7.5M, mean epr 417.84, run loss 68.02
time 01h 42m 06s, episodes 9409, frames 7.5M, mean epr 393.32, run loss 60.75
time 01h 43m 06s, episodes 9490, frames 7.6M, mean epr 400.60, run loss 72.11
time 01h 44m 06s, episodes 9577, frames 7.7M, mean epr 395.84, run loss 73.19
time 01h 45m 07s, episodes 9666, frames 7.8M, mean epr 371.97, run loss 69.46
time 01h 46m 07s, episodes 9754, frames 7.9M, mean epr 379.40, run loss 67.87
time 01h 47m 07s, episodes 9841, frames 7.9M, mean epr 388.37, run loss 66.26

	8M frames: saved model

time 01h 48m 07s, episodes 9922, frames 8.0M, mean epr 401.83, run loss 68.89
time 01h 49m 07s, episodes 10000, frames 8.1M, mean epr 418.16, run loss 68.46
time 01h 50m 07s, episodes 10077, frames 8.1M, mean epr 425.24, run loss 69.00
time 01h 51m 07s, episodes 10160, frames 8.2M, mean epr 427.41, run loss 73.75
time 01h 52m 07s, episodes 10240, frames 8.3M, mean epr 433.99, run loss 70.82
time 01h 53m 07s, episodes 10323, frames 8.4M, mean epr 431.01, run loss 71.70
time 01h 54m 07s, episodes 10399, frames 8.4M, mean epr 423.04, run loss 71.40
time 01h 55m 07s, episodes 10482, frames 8.5M, mean epr 413.46, run loss 71.03
time 01h 56m 07s, episodes 10564, frames 8.6M, mean epr 414.89, run loss 73.73
time 01h 57m 07s, episodes 10650, frames 8.7M, mean epr 399.47, run loss 69.05
time 01h 58m 07s, episodes 10726, frames 8.7M, mean epr 417.02, run loss 72.85
time 01h 59m 08s, episodes 10808, frames 8.8M, mean epr 425.23, run loss 75.59
time 02h 00m 08s, episodes 10895, frames 8.9M, mean epr 423.08, run loss 68.25
time 02h 01m 08s, episodes 10978, frames 9.0M, mean epr 397.94, run loss 68.20
time 02h 02m 08s, episodes 11063, frames 9.0M, mean epr 404.06, run loss 72.00
time 02h 03m 08s, episodes 11150, frames 9.1M, mean epr 386.50, run loss 64.39
time 02h 04m 08s, episodes 11243, frames 9.2M, mean epr 353.14, run loss 57.50
time 02h 05m 08s, episodes 11325, frames 9.3M, mean epr 367.70, run loss 64.03
time 02h 06m 08s, episodes 11409, frames 9.3M, mean epr 387.26, run loss 65.01
time 02h 07m 08s, episodes 11490, frames 9.4M, mean epr 404.72, run loss 67.15
time 02h 08m 08s, episodes 11574, frames 9.5M, mean epr 395.00, run loss 65.38
time 02h 09m 08s, episodes 11656, frames 9.6M, mean epr 406.15, run loss 70.37
time 02h 10m 08s, episodes 11738, frames 9.6M, mean epr 400.41, run loss 69.59
time 02h 11m 08s, episodes 11826, frames 9.7M, mean epr 388.42, run loss 69.30
